+ cd /ocean/projects/cis230065p/ashah12/cautical
+ export PYTHONUNBUFFERED=1
+ PYTHONUNBUFFERED=1
+ python3 run_cadical_experiments.py -j 64 --command time --timeout 1800
Running on 32 files  |  3 base combos x 10 reps  +  3 orderi combos x 1 reps
[UNSAT   ] 19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf base rep1  720.83s  |  build/cadical --report=true --chrono=false --global=true --globalpreprocess=true --globalalphaasort=true --globalalphaagreedy=true --globalrecord=false  --globaltimelim=120 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/19004c7d629f7e6e83c6e1d7a9a768a9-6s166.cnf
[UNSAT   ] 21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13.cnf base rep7  1378.76s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/21bde0ebb111c637a1ae8789827b0b73-WCNF_from_fp_13…
[UNSAT   ] 246afd75cb97a21144f368c00252a656-BZ2File_write_11.cnf base rep4  802.80s  |  e  --globaltimelim=30 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/246afd75cb97a21144f368c00252a656-BZ2File_write_…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep1  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep2  1800.00s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep3  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep4  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep5  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep6  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep7  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep9  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
[TIMEOUT ] 11db226d109e82f93aaa3b2604173ff9-posixpath__joinrealpath_13.cnf base rep8  1800.01s  |  e  --globaltimelim=5 /ocean/projects/cis230065p/ashah12/cautical/satcomp_benchmarks_target/11db226d109e82f93aaa3b2604173ff9-posixpath__join…
